Tite line: "genotypes from 6 populations of loggerhead shrikes in California"
LLU11
LLU20
LLU40
LLU45
LLU112
LLU176
Pop
losh33gl ,  236236  148169  142162  153173  000000  193193
losh12gl ,  203207  000000  154168  168168  000000  203203
losh35gl ,  000000  153162  146156  164174  000000  153153
losh36gl ,  164164  149178  142156  163177  168197  000000
losh13gl ,  206214  162166  158162  163172  000000  155165
losh14gl ,  164164  158170  156168  185185  000000  000000
losh11gl ,  206212  147151  146150  168174  000000  148158
losh34gl ,  000000  157162  154158  187195  196211  000000
losh37gl ,  203207  145145  138138  166170  208228  128149
losh38gl ,  202210  000000  149158  162170  188188  000000
Pop
losh17ma ,  000000  153170  148165  000000  000000  000000
losh19ma ,  000000  149153  145149  167175  192202  000000
losh16ma ,  197197  143157  149162  167177  192213  000000
losh18ma ,  210222  158170  146170  170182  192223  151161
losh20ma ,  195195  151159  000000  153153  207212  160160
losh21ma ,  166166  184196  158166  158162  192217  146151
losh22ma ,  000000  000000  154158  166182  217228  151156
Pop
losh31cc ,  176176  148161  145158  176178  192207  171171
losh30cc ,  203203  000000  144162  165165  193198  156161
losh43ws ,  202204  149170  145166  164166  208218  138148
losh32ws ,  236236  148148  145145  177189  196210  000000
losh58ws ,  198202  149165  000000  159164  313313  159174
losh59ws ,  119166  153153  143143  172176  193193  138159
losh07ws ,  201207  149162  145166  154156  193208  000000
losh03ws ,  000000  000000  154168  000000  000000  203203
losh08ws ,  195217  153173  150170  156178  155178  143148
losh39ws ,  223225  149170  146166  184186  193208  151161
Pop
losh29mv ,  203203  000000  000000  190195  193233  139144
losh44mv ,  209212  148165  146162  170174  191202  156161
losh45mv ,  162263  150176  154158  172182  168202  160166
losh46mv ,  000000  152168  146171  172177  198203  156161
losh47mv ,  222236  000000  150167  158172  193208  151151
losh48mv ,  164164  151155  150154  165171  167203  150155
losh49mv ,  164164  000000  160163  164194  198209  145151
losh50mv ,  119165  162174  157169  168174  201224  000000
losh51mv ,  120166  149149  145145  147161  193193  000000
losh52mv ,  205205  161161  157157  166196  209209  000000
losh53mv ,  209209  149157  145153  170170  189189  171171
Pop
losh09ba ,  198202  000000  166166  160164  000000  149164
losh10ba ,  202218  165182  154166  164179  162178  000000
losh15ba ,  164164  000000  146150  186186  000000  140166
losh40ba ,  199216  146146  152152  159177  193233  151166
losh41ba ,  203229  162166  158162  164190  223233  161161
losh42ba ,  207215  148157  145153  169177  191212  140151
Pop
losh26rv ,  195211  000000  154166  155172  000000  000000
losh23rv ,  220232  169169  182194  167167  000000  000000
losh24rv ,  203207  000000  164168  171171  000000  144169
losh25rv ,  212218  000000  174180  000000  000000  000000
losh27rv ,  195203  000000  155163  145159  192192  000000
losh28rv ,  203221  000000  164182  150166  193203  000000
losh54rv ,  165165  152169  149165  166184  000000  000000
losh55rv ,  207214  148173  146171  169176  192192  170170
losh56rv ,  203219  171175  162166  163180  000000  153158
losh57rv ,  199215  193193  000000  162178  000000  168168
